month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
1,25,6,3,33,-4,25,410,2586,509,505,530,739,727,56,53,90,2,6,0,30.12,36,34
1,10,5,1,4,-8,18,245,1504,915,907,925,1040,1024,54,44,69,15,15,0,30.28,21,26
11,17,7,3,71,-5,24,136,679,675,670,694,811,798,72,51,48,6,3,0,30.02,37,29
11,20,3,6,74,-9,12,96,372,1214,1205,1217,1310,1293,56,35,45,15,9,0,29.6,22,46
11,22,5,6,7,7,9,120,522,760,767,776,820,819,61,50,67,4,6,0,30.14,42,28
12,30,1,3,72,-4,26,134,599,670,666,692,744,732,55,43,64,1,3,0,30.1,38,39
11,26,2,7,29,-13,11,356,2419,1335,1322,1333,71,50,50,41,71,15,16,0,29.56,10,7
12,4,3,8,9,8,10,75,326,1245,1253,1263,1320,1320,56,51,84,1,3,0,29.92,27,27
1,23,4,7,35,-7,18,106,414,714,707,725,820,805,57,49,74,0,0,0,30.15,32,30
12,1,7,6,36,77,22,90,337,998,1075,1097,1088,1157,56,50,80,1,17,0,29.88,28,36
12,27,5,6,61,-6,34,124,620,385,379,413,509,495,49,41,74,0,0,0,30.09,50,37
11,30,6,0,59,3,14,131,651,541,544,558,612,607,51,41,68,3,10,0,29.97,37,24
11,15,5,1,54,-6,19,303,1846,1055,1049,1068,1238,1224,56,53,90,15,14,0,30.14,24,41
12,28,6,3,71,4,14,128,679,798,802,816,926,922,56,45,67,16,13,0,30.1,21,27
1,10,5,3,71,-8,20,133,679,1269,1261,1281,1402,1386,50,43,77,12,5,0,30.29,21,20
12,15,7,1,36,-4,18,91,337,1260,1256,1274,1351,1339,50,43,77,15,5,0,30.26,31,25
11,17,7,6,74,-9,12,93,372,790,781,793,883,866,73,47,39,7,3,0,30.01,31,31
1,28,2,3,3,-4,12,330,2139,587,583,595,737,725,61,53,75,17,10,0,30.32,39,37
12,10,2,2,33,-4,15,390,2586,1309,1305,1320,79,67,53,46,77,10,6,0,30.21,0,2
11,13,3,0,58,-5,13,381,2521,490,485,498,691,678,59,49,69,16,13,0,29.99,36,42
1,19,7,6,36,-1,16,86,337,1325,1324,1340,1411,1402,50,44,80,0,0,0,30.05,18,13
12,5,4,7,17,0,9,376,2442,1061,1061,1070,1257,1249,57,52,83,6,5,0,30.02,26,36
1,24,5,0,59,0,37,135,651,681,681,718,756,748,59,51,75,5,6,0,30.14,38,36
1,28,2,0,58,-10,36,394,2521,660,650,686,874,856,62,51,67,15,10,0,30.27,29,31
1,22,3,6,16,-9,32,265,1476,510,501,533,655,638,53,49,86,5,6,0,30.27,40,16
11,13,3,7,71,-3,14,133,679,1170,1167,1181,1303,1292,56,49,77,8,5,0,29.98,22,46
1,13,1,6,64,-5,12,119,462,620,615,627,739,726,55,43,64,15,13,0,30.2,39,37
1,17,5,6,7,-7,8,122,522,758,751,759,820,805,53,43,69,6,6,0,30.28,33,31
12,2,1,8,18,0,14,175,967,360,360,374,475,467,56,50,80,10,9,20,29.99,27,27
1,9,4,6,69,62,14,82,262,625,687,701,707,761,53,45,74,4,21,0,30.07,40,35
12,31,2,1,71,16,19,137,679,1175,1191,1210,1312,1320,54,49,83,16,10,0,30.15,24,23
11,18,1,7,67,-3,15,96,447,951,948,963,1047,1036,64,50,60,16,16,0,29.84,23,23
11,10,7,3,71,20,13,132,679,789,809,822,921,933,56,49,77,16,17,0,29.99,25,31
12,11,3,6,7,-1,27,117,522,760,759,786,817,808,55,52,89,4,5,0,30.17,43,27
11,27,3,2,33,-1,37,393,2586,659,658,695,872,863,50,37,61,15,12,0,29.51,33,34
1,8,3,7,57,-6,11,120,550,577,571,582,697,683,56,46,69,16,12,0,30.13,33,43
1,14,2,6,53,-4,9,99,363,721,717,726,820,808,56,39,53,15,15,0,30.2,30,27
1,24,5,7,71,-11,39,141,679,389,378,417,530,511,51,48,89,1,9,0,30.19,51,30
11,11,1,6,45,-5,5,52,77,880,875,880,932,919,71,50,47,16,7,0,30.0,27,33
1,11,6,6,73,-1,20,65,86,620,619,639,685,676,55,43,64,16,18,0,30.27,33,41
12,22,7,7,30,38,23,253,1635,1110,1148,1171,1243,1273,49,44,83,8,6,0,29.88,22,43
11,22,5,6,57,-11,17,110,550,715,704,721,825,806,61,50,67,4,6,0,30.14,42,28
12,12,4,8,18,1,13,175,967,610,611,624,725,718,58,56,93,6,7,0,30.27,37,41
1,13,1,7,30,104,16,252,1635,960,1064,1080,1092,1188,54,44,69,11,5,0,30.17,23,32
1,7,2,2,8,17,24,422,2704,612,629,653,854,863,55,45,69,16,18,26,30.12,28,33
11,7,4,1,40,-4,12,373,2446,985,981,993,1178,1166,53,48,83,16,14,0,30.13,27,34
1,23,4,7,9,6,12,87,326,428,434,446,515,513,52,47,83,2,3,0,30.23,52,31
11,13,3,1,71,163,14,140,679,760,923,937,900,1055,56,49,77,16,13,0,29.96,22,21
11,1,5,6,7,-4,13,85,522,360,356,369,425,413,49,34,56,0,0,0,30.14,24,6
11,7,4,3,3,-4,17,331,2139,587,583,600,738,726,59,50,72,5,3,0,30.09,37,40
1,21,2,6,62,6,10,98,421,720,726,736,818,816,58,48,70,9,15,0,30.08,29,27
12,9,1,7,67,36,28,96,447,951,987,1015,1047,1075,56,47,72,15,10,0,30.17,23,25
1,14,2,7,57,-6,18,112,550,455,449,467,567,553,54,41,62,16,6,0,30.27,37,49
12,25,3,6,66,59,11,86,192,886,945,956,972,1023,54,44,69,2,12,0,29.7,17,24
11,21,4,6,19,-3,18,258,1464,755,752,770,893,882,61,49,64,5,6,0,29.88,30,33
12,21,6,6,72,0,20,135,599,900,900,920,975,967,61,39,44,0,0,0,29.89,36,29
12,5,4,7,36,-3,31,87,337,945,942,973,1032,1021,55,52,89,6,10,0,30.01,24,25
1,6,1,6,42,-16,18,91,329,1210,1194,1212,1301,1277,51,39,63,0,0,0,30.36,17,47
1,4,6,6,75,16,10,307,1735,363,379,389,550,558,54,49,83,4,7,0,30.43,35,49
12,5,4,0,19,48,28,247,1464,550,598,626,677,717,55,50,83,0,0,0,30.04,37,40
11,16,6,7,15,4,10,316,2036,440,444,454,576,572,55,53,93,0,0,0,30.17,36,46
12,25,3,7,28,0,21,298,2398,845,845,866,1263,1255,51,43,74,6,30,0,29.7,25,35
11,5,2,3,36,83,17,95,337,510,593,610,605,680,62,52,70,5,3,0,30.03,34,39
12,3,2,6,63,-9,17,73,199,365,356,373,438,421,54,49,83,11,5,0,30.11,26,23
11,2,6,1,4,-18,19,225,1504,420,402,421,525,499,60,44,55,6,3,0,30.15,46,28
1,18,6,7,36,-7,20,105,337,645,638,658,750,735,52,40,63,11,5,0,30.3,35,36
11,8,5,8,67,1,9,100,447,795,796,805,895,888,58,49,72,16,20,0,30.14,29,30
12,31,2,7,74,-7,10,93,372,1017,1010,1020,1110,1095,54,49,83,16,8,0,30.11,26,35
1,28,2,3,71,-5,20,133,679,1269,1264,1284,1402,1389,53,48,83,16,12,0,30.29,19,14
11,20,3,8,18,-1,22,165,967,1325,1324,1346,1430,1421,55,38,53,15,10,0,29.63,25,23
12,19,4,7,30,52,22,259,1635,715,767,789,854,898,56,51,84,2,3,0,30.21,27,33
11,17,7,7,25,-9,27,387,2584,480,471,498,687,670,64,52,65,14,3,0,30.07,31,39
12,16,1,7,8,1,19,400,2704,920,921,940,1140,1133,55,35,47,5,15,0,30.27,23,37
11,10,7,7,35,-4,26,98,414,710,706,732,808,796,61,52,72,5,3,0,29.99,38,29
1,24,5,7,35,-7,13,106,414,903,896,909,1009,994,58,52,81,15,14,0,30.12,36,31
12,6,5,1,36,79,16,91,337,1110,1189,1205,1201,1272,58,52,81,10,13,0,29.93,17,44
11,25,1,6,72,-7,30,135,599,960,953,983,1035,1020,55,42,62,15,20,28,30.04,21,25
1,21,2,6,16,44,16,260,1476,880,924,940,1020,1056,56,51,84,11,14,0,30.1,23,23
1,14,2,6,42,-17,29,91,329,1210,1193,1222,1301,1276,50,40,68,15,6,0,30.19,17,38
1,23,4,7,72,-9,9,143,599,1223,1214,1223,1306,1289,53,49,86,0,0,0,30.13,18,41
11,11,1,0,19,26,19,228,1464,1239,1265,1284,1347,1365,62,45,53,15,7,0,30.04,31,28
12,7,6,7,23,-4,25,388,2565,360,356,381,568,556,65,54,68,9,23,30,29.94,36,45
12,10,2,1,71,-3,19,137,679,1055,1052,1071,1192,1181,55,49,80,15,9,0,30.22,26,34
11,5,2,7,67,-8,13,96,447,1020,1012,1025,1116,1100,56,48,75,16,12,0,29.98,23,35
12,2,1,6,64,175,30,111,462,810,985,1015,921,1088,56,51,84,1,12,0,30.06,23,37
11,6,3,0,36,3,13,89,337,1020,1023,1036,1109,1104,55,48,77,16,17,0,29.99,22,37
11,29,5,7,66,6,27,75,192,585,591,618,660,658,52,39,61,0,0,0,29.82,33,22
1,3,5,6,22,-9,11,105,451,879,870,881,984,967,55,48,77,4,6,0,30.19,36,27
11,1,5,6,72,-1,11,137,599,865,864,875,942,933,71,36,28,0,0,0,30.08,26,36
12,17,2,8,53,14,13,85,363,1230,1244,1257,1315,1321,50,40,68,10,6,0,29.98,26,24
12,17,2,6,4,143,13,247,1504,1183,1326,1339,1310,5,55,50,83,13,3,0,30.11,8,4
1,19,7,6,7,-8,8,122,522,998,990,998,1060,1044,52,43,71,5,5,0,30.04,20,23
12,31,2,1,23,-6,20,402,2565,1050,1044,1064,1272,1258,53,49,86,15,12,0,30.13,19,36
11,14,4,6,74,-1,27,93,372,790,789,816,883,874,59,52,78,17,5,0,30.08,30,31
11,23,6,3,20,3,15,317,2079,960,963,978,1097,1092,58,45,62,15,14,0,30.15,19,30
11,20,3,7,35,-11,15,98,414,460,449,464,558,539,64,39,40,7,17,0,29.55,49,30
12,21,6,6,2,-13,19,159,848,1073,1060,1079,1172,1151,57,40,53,0,0,0,29.84,22,40
1,25,6,6,72,23,13,151,599,500,523,536,591,606,56,53,90,1,5,0,30.17,40,15
12,29,7,6,19,15,15,260,1464,698,713,728,838,845,52,47,83,3,12,0,30.01,25,32
12,17,2,1,57,-11,14,114,550,1370,1359,1373,44,25,53,42,66,14,3,0,29.98,8,4
12,10,2,6,24,-9,11,65,158,1075,1066,1077,1140,1123,57,48,72,15,15,0,30.21,22,36
11,30,6,0,36,0,18,91,337,1200,1200,1218,1291,1283,54,45,72,10,18,0,29.83,27,44
1,22,3,6,72,-7,11,139,599,1020,1013,1024,1099,1084,55,48,77,16,10,0,30.22,26,36
12,5,4,7,48,-3,16,287,1911,927,924,940,1094,1083,55,52,89,4,8,0,30.02,23,37
12,2,1,6,0,-4,27,175,896,360,356,383,475,463,56,50,80,10,9,20,29.99,27,27
12,4,3,7,50,-8,7,294,2338,1326,1318,1325,300,284,53,51,93,4,10,0,29.83,0,1
1,15,3,3,72,-5,15,138,599,676,671,686,754,741,51,40,66,1,6,0,29.99,39,36
12,26,4,6,73,-1,40,65,86,1236,1235,1275,1301,1292,50,39,66,16,7,0,29.98,22,44
12,13,5,8,41,0,11,285,1855,1210,1210,1221,1375,1367,57,54,89,16,13,0,30.08,30,27
1,2,4,7,3,2,13,329,2139,430,432,445,579,573,52,49,89,0,0,0,30.16,33,52
12,12,4,7,36,-5,18,87,337,945,940,958,1032,1019,61,57,87,14,3,0,30.26,42,29
11,1,5,6,61,-5,31,126,620,399,394,425,525,512,57,40,53,0,0,0,30.17,50,29
11,7,4,6,22,2,22,103,451,1102,1104,1126,1205,1199,55,48,77,16,8,0,30.13,27,34
1,13,1,6,44,-13,9,85,193,654,641,650,739,718,55,43,64,15,13,0,30.2,33,44
1,24,5,7,29,-6,11,375,2419,1325,1319,1330,80,66,50,48,93,15,10,0,30.15,0,3
1,29,3,2,33,-8,17,410,2586,1229,1221,1238,19,3,52,47,83,15,14,0,30.23,5,8
11,30,6,3,47,175,43,266,1589,1239,1414,17,1385,112,56,47,72,3,29,33,29.8,3,6
12,18,3,3,71,120,18,130,679,1020,1140,1158,1150,1262,56,50,80,13,9,0,30.07,19,41
1,31,5,6,69,-4,19,81,262,1112,1108,1127,1193,1181,61,48,62,16,5,0,30.29,21,31
12,27,5,7,28,-3,21,298,2398,480,477,498,898,887,59,37,44,16,10,0,30.04,27,32
11,2,6,7,71,-8,13,133,679,801,793,806,934,918,73,39,29,0,0,0,30.03,18,33
11,12,2,7,54,6,24,287,1846,575,581,605,742,740,67,53,61,4,3,0,30.03,34,38
11,7,4,7,35,-7,26,98,414,813,806,832,911,896,56,48,75,16,18,0,30.09,29,30
12,30,1,1,36,-4,26,91,337,1110,1106,1132,1201,1189,52,46,80,15,6,0,30.1,25,37
11,29,5,0,58,3,15,379,2521,950,953,968,1149,1144,47,41,80,11,7,0,29.95,23,35
11,4,1,6,73,-4,10,74,86,605,601,611,679,667,64,51,63,6,6,0,29.98,34,43
1,25,6,7,67,-7,17,100,447,455,448,465,555,540,55,52,89,1,5,0,30.16,38,48
12,13,5,6,26,50,20,155,733,818,868,888,973,1015,58,53,84,15,7,0,30.11,41,30
1,8,3,7,38,-4,12,307,2447,863,859,871,1290,1278,54,43,66,15,9,0,30.11,17,38
12,11,3,7,18,60,13,163,967,1135,1195,1208,1238,1290,58,54,87,3,3,0,30.16,16,44
1,18,6,1,35,42,15,105,414,880,922,937,985,1019,53,44,71,5,8,0,30.26,32,28
11,12,2,4,18,-1,16,177,967,918,917,933,1035,1026,62,47,58,15,12,0,29.98,22,23
12,20,5,6,53,-6,10,99,363,1150,1144,1154,1249,1235,55,49,80,7,5,0,30.12,29,41
12,30,1,7,29,1,37,370,2419,1325,1326,1363,75,68,50,45,83,6,16,0,30.05,1,6
1,2,4,6,74,-10,9,95,372,680,670,679,775,757,55,47,74,2,3,0,30.11,39,39
12,14,6,7,35,-1,21,98,414,715,714,735,813,804,56,43,62,16,24,0,30.05,40,23
12,4,3,7,12,40,30,329,2161,1157,1197,1227,1306,1338,56,51,84,0,0,0,29.94,27,27
12,31,2,7,23,-3,15,385,2565,840,837,852,1045,1034,55,44,67,8,3,0,30.11,19,26
1,22,3,6,69,0,9,81,262,1112,1112,1121,1193,1185,55,46,72,15,7,0,30.23,19,30
12,22,7,1,8,15,31,415,2704,1025,1040,1071,1260,1267,49,44,83,8,6,0,29.88,22,43
1,7,2,6,7,-10,14,133,522,517,507,521,590,572,50,43,77,0,0,0,30.22,37,49
12,21,6,7,74,4,16,93,372,485,489,505,578,574,54,47,77,1,8,0,30.01,34,49
12,12,4,6,66,-3,27,80,192,730,727,754,810,799,59,56,90,4,9,0,30.26,43,26
1,23,4,8,36,-4,9,95,337,365,361,370,460,448,50,47,89,10,5,0,30.22,27,25
1,14,2,7,3,828,33,330,2139,435,1263,1296,585,1405,49,41,74,0,0,0,30.19,18,14
12,16,1,7,29,-4,37,364,2419,510,506,543,694,682,54,39,57,14,3,0,30.33,35,42
1,29,3,7,36,-3,18,105,337,465,462,480,570,559,54,47,77,0,0,0,30.27,37,48
12,18,3,6,42,139,30,89,329,1086,1225,1255,1175,1306,56,50,80,13,9,0,30.07,19,41
1,2,4,1,71,0,17,137,679,1175,1175,1192,1312,1304,53,46,77,15,5,0,30.15,22,45
12,18,3,7,59,-3,14,129,651,1184,1181,1195,1253,1242,55,49,80,13,7,0,30.06,26,38
1,21,2,6,7,-9,11,133,522,395,386,397,468,451,53,45,74,10,9,0,30.1,27,23
12,1,7,3,71,154,21,131,679,1249,1403,1424,1380,86,55,50,83,1,9,0,29.93,1,9
11,9,6,6,74,-3,11,93,372,955,952,963,1048,1037,55,49,80,15,24,0,30.06,18,22
12,11,3,6,70,-5,29,71,190,625,620,649,696,683,55,51,86,4,6,0,30.21,34,42
1,6,1,0,59,12,14,133,651,539,551,565,612,616,54,41,62,5,3,0,30.49,41,28
12,17,2,0,54,-7,37,287,1846,635,628,665,802,787,54,38,55,0,0,0,30.1,41,24
1,28,2,7,9,-12,14,87,326,428,416,430,515,495,54,48,80,10,9,0,30.35,50,28
12,21,6,7,23,130,16,399,2565,1325,15,31,104,226,51,46,83,0,0,0,30.06,0,0
1,21,2,0,58,-1,20,386,2521,1250,1249,1269,16,7,55,50,83,2,6,0,30.17,5,8
1,3,5,7,19,-9,15,251,1464,455,446,461,586,569,53,46,77,0,0,0,30.24,34,50
1,17,5,3,20,-2,22,339,2079,510,508,530,669,659,50,42,74,2,5,0,30.31,44,17
11,2,6,1,36,7,23,90,337,810,817,840,900,899,73,39,29,0,0,0,30.03,26,22
11,16,6,7,57,71,7,107,550,788,859,866,895,958,59,51,75,16,18,0,30.06,17,30
11,11,1,1,35,-19,21,100,414,760,741,762,860,833,66,55,68,2,5,0,30.0,41,29
11,15,5,6,72,4,12,146,599,393,397,409,479,475,58,50,75,0,0,0,30.19,25,26
1,3,5,8,75,1,11,275,1735,615,616,627,770,763,55,46,72,5,6,0,30.19,38,39
1,5,7,7,57,-4,9,115,550,448,444,453,563,551,54,41,62,0,0,0,30.58,34,53
12,29,7,7,8,8,9,415,2704,1083,1091,1100,1318,1318,52,49,89,5,14,0,30.0,22,43
11,6,3,7,69,-9,15,76,262,360,351,366,436,419,53,48,83,9,5,0,30.04,28,7
1,16,4,3,47,16,37,265,1589,704,720,757,849,857,50,42,74,11,10,0,29.83,32,32
12,11,3,7,59,25,31,129,651,720,745,776,789,806,55,52,89,4,5,0,30.17,43,27
11,18,1,7,35,2,10,98,414,656,658,668,754,748,65,55,70,2,5,0,29.9,37,39
1,18,6,6,81,-2,13,275,1550,440,438,451,595,585,47,40,77,1,5,0,30.36,38,48
11,17,7,0,36,7,24,92,337,720,727,751,812,811,72,51,48,6,3,0,30.02,37,29
1,13,1,6,39,5,67,271,1499,420,425,492,571,568,52,43,71,16,6,0,30.23,39,49
11,5,2,7,71,-1,16,138,679,360,359,375,498,489,56,50,80,0,0,0,30.07,48,28
1,19,7,7,67,-6,10,108,447,1155,1149,1159,1263,1249,51,41,68,1,6,0,30.06,30,41
1,27,1,7,23,-9,16,389,2565,720,711,727,929,912,59,49,69,15,13,0,30.36,25,28
11,7,4,1,67,32,50,100,447,440,472,522,540,564,54,49,83,0,0,0,30.12,38,54
12,23,1,0,13,5,19,350,2296,675,680,699,845,842,55,42,62,15,10,0,29.84,28,34
11,4,1,8,75,6,8,275,1735,615,621,629,770,768,64,47,54,6,5,0,29.96,36,40
12,8,7,6,62,28,11,104,421,480,508,519,584,604,59,52,78,13,6,0,30.02,43,21
1,14,2,6,9,-1,10,97,326,980,979,989,1077,1068,53,41,64,15,12,0,30.2,23,23
11,4,1,7,71,-11,11,139,679,575,564,575,714,695,64,51,63,6,6,0,29.98,34,43
12,11,3,7,8,-4,39,400,2704,1082,1078,1117,1302,1290,58,54,87,3,3,0,30.16,16,44
12,15,7,8,67,-3,10,100,447,765,762,772,865,854,55,43,64,15,17,0,30.21,29,28
1,31,5,7,60,76,22,340,2254,1150,1226,1248,1310,1378,55,51,86,0,0,0,30.31,29,20
11,20,3,3,36,2,25,85,337,907,909,934,992,986,60,43,53,15,13,0,29.52,38,28
1,22,3,6,73,64,21,65,86,620,684,705,685,741,56,50,80,4,5,0,30.23,39,35
1,2,4,6,70,-1,8,79,190,714,713,721,793,784,57,47,69,6,3,0,30.09,39,27
11,24,7,1,36,16,30,91,337,1050,1066,1096,1141,1149,56,45,67,16,12,0,30.07,27,35
11,4,1,8,35,-2,15,100,414,740,738,753,840,830,68,48,49,16,10,0,29.94,40,30
11,7,4,7,18,-1,18,165,967,572,571,589,677,668,58,50,75,5,6,0,30.11,35,39
11,17,7,3,36,-11,18,98,337,618,607,625,716,697,64,52,65,14,3,0,30.07,31,39
1,3,5,1,54,-15,27,303,1846,1055,1040,1067,1238,1215,55,44,67,9,10,0,30.22,28,42
1,30,4,6,74,72,11,97,372,780,852,863,877,941,61,53,75,4,3,0,30.21,26,29
12,14,6,6,70,0,11,72,190,408,408,419,480,472,53,45,74,15,17,22,30.07,27,21
11,9,6,8,18,8,11,170,967,655,663,674,765,765,56,50,80,5,5,0,30.1,34,36
12,2,1,7,28,-5,24,296,2398,1320,1315,1339,296,283,54,50,86,1,15,0,29.94,0,1
11,28,4,7,10,-1,18,370,2457,480,479,497,670,661,46,39,76,5,13,0,29.61,28,36
1,9,4,8,59,-11,5,125,651,1330,1319,1324,1395,1376,47,42,83,0,0,0,30.21,28,21
11,4,1,0,33,-7,18,407,2586,980,973,991,1207,1192,53,47,80,16,17,0,29.97,30,35
12,7,6,0,54,146,37,288,1846,914,1060,1097,1082,1220,61,53,75,12,12,0,29.92,18,31
1,19,7,6,9,-1,19,97,326,645,644,663,742,733,53,38,57,3,6,0,30.11,34,33
11,15,5,6,9,-3,14,89,326,980,977,991,1069,1058,59,53,81,15,18,0,30.14,23,24
1,26,7,1,40,-6,18,369,2446,1145,1139,1157,1334,1320,53,45,74,15,18,0,30.31,29,25
11,8,5,7,30,47,15,260,1635,730,777,792,870,909,55,48,77,16,17,0,30.14,26,34
11,14,4,7,62,-10,54,95,421,1126,1116,1170,1221,1203,60,49,67,17,10,0,30.12,26,40
11,17,7,6,67,-2,22,100,447,580,578,600,680,670,64,52,65,14,3,0,30.07,31,39
11,17,7,6,62,-2,11,90,421,380,378,389,470,460,57,53,87,9,3,0,30.11,27,25
11,11,1,6,72,0,9,135,599,960,960,969,1035,1027,67,44,44,15,14,0,30.0,24,23
12,3,2,3,33,46,61,422,2586,490,536,597,732,770,61,50,67,3,6,0,30.01,33,39
